num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,ktr,krpm,ntrees,runtm,auc_rs_avg,auc_rs_std,auc_test_avg,auc_test_sd
200,0.03,50,0.6,0.8,0.1,0,1,1,504.1,3.53190000000001,0.793905801025043,0.00106888662880647,0.720104145761758,0.00262421526836331
5000,0.03,50,1,0.6,0,0.01,1,2,228.95,7.01814999999998,0.795255357015507,0.00111619329369637,0.72603360618307,0.00229470344772884
5000,0.1,5,0.8,1,0,0.01,1,3,33.75,4.89000000000003,0.79420221832431,0.001359150647637,0.739512956165004,0.00219167855421504
200,0.01,20,0.6,0.8,0,0.01,1,4,1113.6,7.49764999999995,0.790400224976676,0.00118138549194084,0.721952655273603,0.00246560321570195
100,0.1,5,1,0.4,0,0.3,1,5,274.55,1.15080000000003,0.793942889748699,0.00160525447533963,0.73105395792979,0.0021781798648245
500,0.1,10,0.8,0.6,0,0.01,1,6,90.25,1.27959999999994,0.807188940364849,0.00130714954023486,0.736817246869031,0.00223059630535718
5000,0.01,20,1,0.6,0,0,1,7,420.45,28.18875,0.789555570903933,0.00149786991599192,0.722173143682352,0.00205279214245765
1000,0.1,20,0.8,0.6,0.01,0,1,8,69.25,1.93214999999982,0.804291069411897,0.00152124510659648,0.735476095341969,0.00227027638795461
5000,0.01,20,0.8,0.8,0.01,0.01,1,9,498.6,28.5813999999999,0.807588148085269,0.00128596538376813,0.733799494272582,0.00226063045482493
2000,0.01,10,1,0.4,0.01,0,1,10,414.75,19.283,0.791190577217193,0.00172326403574193,0.725768879527109,0.00206050429268505
2000,0.1,20,1,1,0.1,0.01,1,11,46.2,2.58030000000017,0.783104757480599,0.00150656606999049,0.724723942132371,0.00199038884379344
500,0.03,10,1,0.8,0.1,0,1,12,272.35,3.65495000000028,0.803618364204889,0.00182892049364106,0.734320942385842,0.00203408160187565
500,0.1,5,0.8,1,0.3,0,1,13,99.4,1.39904999999981,0.812731715401344,0.00146599446958762,0.742175034110207,0.00220072114540164
