num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l1,lambda_l2,krpm,ntrees,runtm,auc_rs_avg,auc_rs_std,auc_test_avg,auc_test_sd
200,0.03,50,0.6,0.8,0.1,0,1,495.4,4.2116,0.788293542150508,0.00158925841709515,0.723144981513305,0.00231210649064027
5000,0.03,50,1,0.6,0,0.01,2,250.2,11.95425,0.791957372334741,0.0016983440798005,0.732644813533755,0.00184936771557532
5000,0.1,5,0.8,1,0,0.01,3,33.95,8.40489999999999,0.800584990894827,0.00125561250169598,0.749156047358491,0.00205425405313052
200,0.01,20,0.6,0.8,0,0.01,4,1095,9.28054999999996,0.787733303807144,0.00139923381827546,0.726305966732273,0.00219388438993
100,0.1,5,1,0.4,0,0.3,5,245.6,1.27539999999999,0.787748037585345,0.00175069839702623,0.734584447940127,0.00174277287312448
500,0.1,10,0.8,0.6,0,0.01,6,94.85,1.96545000000003,0.80226824092923,0.00139347722179284,0.74388159141264,0.00195665992109027
5000,0.01,20,1,0.6,0,0,7,425.75,51.0857,0.783812254109439,0.00141642619180188,0.729878313905452,0.00201571905467454
1000,0.1,20,0.8,0.6,0.01,0,8,73.4,3.11755000000012,0.803575477662336,0.00137451984079618,0.741784069868219,0.00200961594346767
5000,0.01,20,0.8,0.8,0.01,0.01,9,495.25,50.66085,0.803605251039444,0.0011858826523806,0.740235984061904,0.00205524056219106
2000,0.01,10,1,0.4,0.01,0,10,416.25,35.5298,0.789582079093407,0.00108290678009551,0.734522475627661,0.0021752978633002
2000,0.1,20,1,1,0.1,0.01,11,48.3,4.66410000000005,0.782793859342886,0.00176687197892049,0.732377940766706,0.00200076670603934
500,0.03,10,1,0.8,0.1,0,12,293.2,5.96374999999998,0.798848700176517,0.00131237327456868,0.740064991742361,0.00180926968337642
500,0.1,5,0.8,1,0.3,0,13,98.3,2.1503999999999,0.808687509171401,0.00109755393574709,0.74750471046781,0.00182114048879434
2000,0.01,50,1,0.4,0,0.3,14,751.45,32.5882000000001,0.794866339838377,0.00136862614851209,0.732252690371904,0.00186170712241115
5000,0.01,50,0.6,0.6,0,0,15,740.35,28.2793000000001,0.788415289132339,0.00133923545076051,0.727240901772118,0.00234334883930632
5000,0.03,5,0.6,0.4,0.3,0.1,16,192.95,27.135,0.799515837718476,0.00111123553848021,0.736697713270535,0.00218853112726501
2000,0.1,5,0.6,0.4,0,0,17,53.75,4.87974999999969,0.787648275108135,0.00138958308137535,0.733687152886856,0.00236932775774525
5000,0.01,50,0.6,0.4,0.3,0,18,867.6,26.9306999999999,0.79100370065621,0.00193123256853869,0.728030045701859,0.00244012940176136
5000,0.1,20,0.8,0.4,0,0,19,45.5,5.96479999999992,0.796739445500034,0.00150650302498103,0.742324617720152,0.00196696195171257
5000,0.1,10,0.8,0.6,0.01,0,20,37.05,7.67849999999971,0.795873550952099,0.00204851323147363,0.747506533898696,0.00209707699434227
